IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.139.243,2053,2053,true,HKG,Asia Pacific,Hong Kong,208,12.93
47.242.234.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,67,9.89
8.210.3.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,206,7.42
47.242.59.216,8880,8880,false,HKG,Asia Pacific,Hong Kong,207,5.83
47.243.74.220,2053,2053,true,HKG,Asia Pacific,Hong Kong,82,5.63
47.242.157.96,2087,2087,true,HKG,Asia Pacific,Hong Kong,133,4.71
47.242.232.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,174,4.62
47.242.155.183,2096,2096,true,HKG,Asia Pacific,Hong Kong,82,4.49
8.210.34.188,2086,2086,false,HKG,Asia Pacific,Hong Kong,134,4.49
8.210.34.188,80,80,false,HKG,Asia Pacific,Hong Kong,99,4.46
47.242.79.71,8443,8443,true,HKG,Asia Pacific,Hong Kong,132,4.40
8.210.66.190,8880,8880,false,HKG,Asia Pacific,Hong Kong,133,4.37
8.218.48.92,2095,2095,false,HKG,Asia Pacific,Hong Kong,99,4.28
47.242.157.96,80,80,false,HKG,Asia Pacific,Hong Kong,97,4.05
8.210.66.190,2083,2083,true,HKG,Asia Pacific,Hong Kong,98,4.04
8.217.91.121,2052,2052,false,HKG,Asia Pacific,Hong Kong,93,4.04
8.217.248.220,8880,8880,false,HKG,Asia Pacific,Hong Kong,206,4.01
8.210.66.190,2096,2096,true,HKG,Asia Pacific,Hong Kong,93,4.01
47.242.234.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,73,3.98
8.217.85.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,69,3.97
47.243.90.180,2082,2082,false,HKG,Asia Pacific,Hong Kong,69,3.97
8.217.248.220,2052,2052,false,HKG,Asia Pacific,Hong Kong,134,3.89
47.243.139.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,134,3.88
47.242.232.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,131,3.79
47.242.234.127,2087,2087,true,HKG,Asia Pacific,Hong Kong,133,3.78
8.217.121.207,2095,2095,false,HKG,Asia Pacific,Hong Kong,73,3.77
8.217.207.60,2095,2095,false,HKG,Asia Pacific,Hong Kong,131,3.75
47.242.232.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,132,3.75
47.243.169.63,2053,2053,true,HKG,Asia Pacific,Hong Kong,131,3.75
8.210.146.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,132,3.75
47.243.139.243,2087,2087,true,HKG,Asia Pacific,Hong Kong,82,3.74
8.210.3.24,2082,2082,false,HKG,Asia Pacific,Hong Kong,82,3.72
47.243.74.220,2087,2087,true,HKG,Asia Pacific,Hong Kong,93,3.65
8.217.91.121,2086,2086,false,HKG,Asia Pacific,Hong Kong,99,3.65
47.243.139.243,2083,2083,true,HKG,Asia Pacific,Hong Kong,73,3.63
8.218.204.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,209,3.63
47.242.234.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,82,3.59
8.210.146.108,8080,8080,false,HKG,Asia Pacific,Hong Kong,98,3.57
47.242.59.216,8443,8443,true,HKG,Asia Pacific,Hong Kong,174,3.54
47.242.59.216,2096,2096,true,HKG,Asia Pacific,Hong Kong,94,3.50
47.242.155.183,2086,2086,false,HKG,Asia Pacific,Hong Kong,134,3.48
47.242.155.183,8443,8443,true,HKG,Asia Pacific,Hong Kong,135,3.46
47.242.79.71,8080,8080,false,HKG,Asia Pacific,Hong Kong,134,3.45
8.217.85.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,97,3.45
47.243.74.220,80,80,false,HKG,Asia Pacific,Hong Kong,131,3.37
8.210.207.214,2052,2052,false,HKG,Asia Pacific,Hong Kong,175,3.34
8.218.2.181,8880,8880,false,HKG,Asia Pacific,Hong Kong,174,3.24
8.210.245.224,2052,2052,false,HKG,Asia Pacific,Hong Kong,97,3.23
8.210.66.190,2082,2082,false,HKG,Asia Pacific,Hong Kong,81,3.20
8.218.222.36,2095,2095,false,HKG,Asia Pacific,Hong Kong,82,3.17
47.242.232.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,132,3.17
8.218.53.110,2053,2053,true,HKG,Asia Pacific,Hong Kong,72,3.15
8.218.53.110,8080,8080,false,HKG,Asia Pacific,Hong Kong,131,3.14
8.210.245.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,133,3.14
8.210.207.214,2082,2082,false,HKG,Asia Pacific,Hong Kong,132,3.11
47.242.234.127,2082,2082,false,HKG,Asia Pacific,Hong Kong,131,3.10
8.218.18.132,8080,8080,false,HKG,Asia Pacific,Hong Kong,135,3.09
8.217.250.222,2052,2052,false,HKG,Asia Pacific,Hong Kong,82,3.09
8.210.207.214,2083,2083,true,HKG,Asia Pacific,Hong Kong,101,3.07
47.243.90.180,8443,8443,true,HKG,Asia Pacific,Hong Kong,134,3.05
8.218.53.110,2086,2086,false,HKG,Asia Pacific,Hong Kong,82,3.04
47.242.155.183,80,80,false,HKG,Asia Pacific,Hong Kong,99,3.01
8.217.91.121,8080,8080,false,HKG,Asia Pacific,Hong Kong,134,3.01
