IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
194.36.179.240,443,443,true,SIN,Asia Pacific,Singapore,138,6.04
47.245.102.52,2083,2083,true,SIN,Asia Pacific,Singapore,424,0.82
47.245.118.70,80,80,false,SIN,Asia Pacific,Singapore,408,0.67
47.245.114.163,2053,2053,true,SIN,Asia Pacific,Singapore,427,0.66
47.245.118.70,2082,2082,false,SIN,Asia Pacific,Singapore,400,0.66
47.245.102.52,2082,2082,false,SIN,Asia Pacific,Singapore,410,0.60
47.245.114.163,2052,2052,false,SIN,Asia Pacific,Singapore,436,0.54
47.245.114.163,2086,2086,false,SIN,Asia Pacific,Singapore,412,0.51
47.245.102.52,2096,2096,true,SIN,Asia Pacific,Singapore,435,0.49
8.219.6.150,80,80,false,SIN,Asia Pacific,Singapore,294,0.35
47.245.118.70,2087,2087,true,SIN,Asia Pacific,Singapore,453,0.34
47.245.126.151,8443,8443,true,SIN,Asia Pacific,Singapore,412,0.34
8.222.160.176,80,80,false,SIN,Asia Pacific,Singapore,346,0.29
47.245.118.70,8880,8880,false,SIN,Asia Pacific,Singapore,407,0.28
47.236.237.90,2087,2087,true,SIN,Asia Pacific,Singapore,415,0.26
47.245.118.70,2095,2095,false,SIN,Asia Pacific,Singapore,453,0.24
47.236.102.102,2052,2052,false,SIN,Asia Pacific,Singapore,335,0.22
47.236.169.141,2083,2083,true,SIN,Asia Pacific,Singapore,329,0.20
47.236.166.131,2082,2082,false,SIN,Asia Pacific,Singapore,345,0.19
47.236.144.208,2052,2052,false,SIN,Asia Pacific,Singapore,334,0.19
47.236.189.92,2082,2082,false,SIN,Asia Pacific,Singapore,333,0.18
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,372,0.17
8.219.132.64,2083,2083,true,SIN,Asia Pacific,Singapore,373,0.17
8.219.122.55,2096,2096,true,SIN,Asia Pacific,Singapore,341,0.17
8.219.11.158,2053,2053,true,SIN,Asia Pacific,Singapore,307,0.17
8.219.120.87,2052,0,false,SIN,Asia Pacific,Singapore,361,0.16
47.236.123.133,8880,8880,false,SIN,Asia Pacific,Singapore,366,0.16
8.219.132.64,2082,2082,false,SIN,Asia Pacific,Singapore,325,0.16
47.237.95.156,2082,2082,false,SIN,Asia Pacific,Singapore,535,0.16
